model,MAE,RMSE,R2,MAE_NO,MAE_NO2,RMSE_NO,RMSE_NO2,R2_NO,R2_NO2
KNN(k=5),17.183352380952385,27.346525244009484,0.2490624426361011,29.192933333333343,5.17377142857143,47.50295370345281,7.190096784566155,0.2457688416955316,0.25235604357667063
SVR(RBF),13.52081352491291,31.16532324695351,0.09590840986209836,22.33787190701163,4.703755142814192,54.88731788680146,7.443328607105559,-0.006948498828257765,0.1987653185524545
Lasso(alpha=1e-3),21.815529256289622,30.0290708848917,0.09219667583443975,37.646452626589294,5.984605885989951,52.13886074884362,7.9192810209397795,0.0913715823120812,0.09302176935679829
LinearRegression,21.839489004083184,30.044863281297772,0.08997038830779147,37.671650531817065,6.007327476349304,52.15320907655835,7.9365174860372,0.09087141441362623,0.08906936220195671
HistGradientBoosting,20.374562904529572,30.434846297016072,0.05930556558998212,34.800637719547076,5.94848808951207,52.76067855514362,8.109014038888528,0.06956939956252273,0.04904173161744152
"ElasticNet(alpha=1e-3,l1=0.5)",22.691027410256822,30.687628768392692,0.051108530905200567,39.23485202635118,6.147202794162467,53.27390139579753,8.10135614098785,0.051380068109287746,0.05083699370111339
RandomForest,18.73655919512472,31.073844562529075,0.039607688553304654,31.885629143235075,5.587489247014363,54.07012129093339,8.077567834124753,0.02281244340163091,0.0564029337049784
Ridge(alpha=1.0),23.37411765782073,31.61273135674746,-0.007461132925889347,40.371866677763336,6.376368637878125,54.875028802101035,8.350433911393889,-0.0064976445848417,-0.008424621266936994
GradientBoosting,20.701651438683463,36.18617643857885,-0.32459607916748323,35.067979813012926,6.335323064353999,62.775152841943985,9.597200035213707,-0.3171608026125907,-0.33203135572237574
DecisionTree,20.86627463002745,37.25763547968193,-0.35012878300085526,35.40509493973028,6.32745432032462,65.09248374263893,9.422787216724931,-0.41620109900470004,-0.2840564669970105
